,title,order,body,A,B,C,D,E,resposta,resolucao
10,Questão 146 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Uma pessoa precisa c,11,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social.</p><p style=""text-align:justify"">Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozNDoxNiArMDAwMDY0MjM0MA==.png"" data-filename=""58684""><br></p><p style=""text-align:justify"">Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário</p></div>","<div class=""exercise-answer__content dangerous-html""><p>I.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>II.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>III.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>IV.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>V.</p></div>",A,"<div class=""dangerous-html""><p>Fazendo os cálculos dos custos, em reais, totais de cada operário, formados por gasto com transporte somado ao de horas trabalhadas, temos:</p><p>(Operário I) = 0 + 8 . 120 = 960<br></p><p>(Operário II) = 0 + 6 . 180 = 1 080</p><p>(Operário III) = 20 + 6 . 170 = 1040<br></p><p>(Operário IV) = 10 + 9 . 110 =&nbsp; 1 000<br></p><p>(Operário V) = 0 + 10 . 110 = 1 100<br></p><p>O menor valor possível será gasto com a contratação do operário I.</p><p><strong>Resposta correta: A</strong></p><p><br></p></div>"
11,Questão 147 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Uma cozinheira produ,12,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 cm de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 cm de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para&nbsp;<span style=""text-align:left"">produzir os docinhos dessa encomenda.</span></p><p style=""text-align:justify""><span style=""text-align:left"">Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?</span></p></div>","<div class=""exercise-answer__content dangerous-html""><p>2</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3</p></div>","<div class=""exercise-answer__content dangerous-html""><p>6</p></div>","<div class=""exercise-answer__content dangerous-html"">12</div>","<div class=""exercise-answer__content dangerous-html""><p>24</p></div>",E,"<div><p>I. Cálculo da receita-base</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1. Para apenas um docinho (R = 1 cm)</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1MjowNCArMDAwMDM3MTYwNA==.png"" data-filename=""58759""><br></p><p></p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2. Para a porção de docinhos (P)</p><p><img data-filename=""58760"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1NToxMCArMDAwMDEyNjYzOQ==.png""></p><p>II. Cálculo da encomenda de 150 docinhos</p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1. Para apenas um docinho (R = 2 cm)</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1NjowMCArMDAwMDcxMjY2Mw==.png"" data-filename=""58763""></p><p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;2. Para toda a encomenda (E)</p><p><img data-filename=""58767"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1Njo0OSArMDAwMDUyOTU5Nw==.png""></p><p>III. Quantidade de porções (Q)</p><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1NzozOCArMDAwMDYxMzM1OA==.png"" data-filename=""58770""></p><p><br></p><p><strong>Resposta correta: E</strong><br></p><p><br></p></div>"
12,Questão 148 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Uma empresa produz e,13,"<div><p>(ENEM 2022)</p><p style=""text-align:justify"">Uma empresa produz e vende um tipo de chocolate, maciço, em formato de cone circular reto com as medidas do diâmetro da base e da altura iguais a 8 cm e 10 cm, respectivamente, como apresenta a figura.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozNDoyNCArMDAwMDgwMDAxMA==.png"" data-filename=""58686""><br></p><p style=""text-align:justify"">Devido a um aumento de preço dos ingredientes utilizados na produção desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate com um volume 19% menor, no mesmo formato de cone circular reto com altura de 10 cm.</p><p style=""text-align:justify"">Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em centímetro, igual a</p></div>","<div class=""exercise-answer__content dangerous-html""><p>1,52.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3,24.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3,60.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>6,48.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>7,20.</p></div>",C,"<div><p style=""text-align:center""><img data-filename=""58818"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMjo1MzoxNyArMDAwMDc5MTIzMg==.png""></p><p style=""text-align:justify""><br></p></div>"
13,"Questão 149 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Em janeiro de 2013,",14,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Em janeiro de 2013, foram declaradas 1794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja, foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75%, quando comparado com o mesmo período de 2012.</p><p style=""text-align:right""><span>Disponível em: http://portal.mte.gov.br. Acesso em: 23 fev. 2013 (adaptado).</span></p><p>De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi</p></div>","<div class=""exercise-answer__content dangerous-html""><p>16 514.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>86 700.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>115 600.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>441 343.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>448 568.</p></div>",C,"<div><p><img data-filename=""58739"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDowOToyNyArMDAwMDk0NTQzMw==.png""></p><p>Resolução fornecida em parceria com Colégio Ari de Sá e SAS Plataforma de Educação<br></p></div>"
14,"Questão 150 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022)Um prédio, com 9 and",15,"<div class=""dangerous-html""><p>(ENEM 2022)</p><p style=""text-align:justify"">Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos os seus apartamentos à venda. Os apartamentos são identificados por números formados por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento, e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar. Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes características, em função de seus números de identificação:</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;• naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte da manhã;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;• naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte da manhã;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;• naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte da tarde.</p><p style=""text-align:justify"">Uma pessoa pretende comprar 2 desses apartamentos em um mesmo andar, mas quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã.</p><p style=""text-align:justify"">De quantas maneiras diferentes essa pessoa poderá escolher 2 desses apartamentos para compra nas condições desejadas?</p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzowMDo1NSArMDAwMDM5MjA2NA==.png"" data-latex=""9%5Ctimes%5Cfrac%20%7B6!%7D%20%7B(6-2)!%7D"" data-size=""1""></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzowMzowOSArMDAwMDI5ODI2OQ==.png"" data-latex=""9%5Ctimes%5Cfrac%20%7B6!%7D%7B(6-2)!%5Ctimes2!%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzowNDowMyArMDAwMDU1OTc0NQ==.png"" data-latex=""9%5Ctimes%5Cfrac%20%7B4!%7D%20%7B(4-2)!%5Ctimes2!%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzowMzoxMCArMDAwMDEwMjUwMw==.png"" data-latex=""9%5Ctimes%5Cfrac%20%7B2!%7D%20%7B(2-2)!%5Ctimes2!%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMzowMzowOSArMDAwMDY4MjE3OA==.png"" data-latex=""9%5Ctimes%5Cbigg(%20%5Cfrac%20%7B8!%7D%20%7B(8-2)!%5Ctimes2!%7D%20-1%20%5Cbigg)"" data-size=""1""><br></p></div>",B,"<div><p>Em cada andar, essa pessoa pode escolher, sem que a ordem importe, os apartamentos 1, 2, 3, 4, 5 ou 6. Portanto, podemos usar uma combinação, de 6 apartamentos escolhendo 2, ou seja,&nbsp;<span>C</span><span><span>6,2</span></span>&nbsp;para cada andar.</p><p>Como são 9 andares, temos 9 *&nbsp;<span>C</span><span><span>6,2 </span><span> </span></span>9 *<img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1NToxNyArMDAwMDc0NTMxNQ==.png"" data-latex=""%5Cfrac%7B6!%7D%7B(6-2)!2!%7D"" data-size=""1"">&nbsp;escolhas.</p><p></p></div>"
15,Questão 151 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022) Uma máquina em oper,16,"<div><p style=""text-align:left"">(ENEM 2022) </p><p style=""text-align:justify"">Uma máquina em operação tem sua temperatura T monitorada por meio de um registro gráfico, ao longo do tempo t. Essa máquina possui um pistão cuja velocidade V varia com a temperatura T da máquina, de acordo com a expressão&nbsp;<img style=""text-align:left"" data-size=""1"" data-latex=""V=T%5E2-4"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1MzowMCArMDAwMDc4NDA4MQ==.png"">.&nbsp; Após a máquina funcionar durante o intervalo de tempo de 10 horas, o seu operador analisa o registro gráfico, apresentado na figura, para avaliar a necessidade de eventuais ajustes, sabendo que a máquina apresenta falhas de funcionamento quando a velocidade do pistão se anula.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozMjowOCArMDAwMDE2Njc1OA==.png"" data-filename=""58673""></p><p style=""text-align:justify"">Quantas vezes a velocidade do pistão se anulou durante as 10 horas de funcionamento?</p></div>","<div class=""exercise-answer__content dangerous-html""><p>1</p></div>","<div class=""exercise-answer__content dangerous-html""><p>2</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3</p></div>","<div class=""exercise-answer__content dangerous-html""><p>4</p></div>","<div class=""exercise-answer__content dangerous-html""><p>5</p></div>",E,"<div><p>A velocidade se anula em v= 0, logo</p><p><img data-filename=""58765"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1NjowNSArMDAwMDMyMDU0MQ==.png""></p><p>Portanto, observando o gráfico, a quantidade de vezes que as retas T= 2 e T= -2 intercepta o gráfico é igual a 5.</p><p><img data-filename=""58769"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1Njo1NSArMDAwMDE1ODIxNw==.png""></p><p>Resolução fornecida em parceria com Colégio Ari de Sá e SAS Plataforma de Educação<br></p></div>"
16,Questão 152 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022) A World Series é a,17,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022) </p><p style=""text-align:justify"">A <i>World Series</i> é a decisão do campeonato norte-americano de beisebol. Os dois times que chegam a essa fase jogam, entre si, até sete partidas. O primeiro desses times que completar quatro vitórias é declarado campeão.</p><p style=""text-align:justify"">Considere que, em todas as partidas, a probabilidade de qualquer um dos dois times vencer é sempre 1/2.</p><p style=""text-align:justify"">Qual é a probabilidade de o time campeão ser aquele que venceu a primeira partida da <i>World Series</i>?</p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1OTozNCArMDAwMDY1MjI5Ng==.png"" data-latex=""%5Ccfrac%7B35%7D%7B64%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1OTozNCArMDAwMDkzNzU2NQ==.png"" data-latex=""%5Cfrac%7B40%7D%7B64%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1OTozNSArMDAwMDIzNDMyNA==.png"" data-latex=""%5Cfrac%7B42%7D%7B64%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1OTozNSArMDAwMDUzMTc2NA==.png"" data-latex=""%5Cfrac%7B44%7D%7B64%7D"" data-size=""1""><br></p></div>","<div class=""exercise-answer__content dangerous-html""><p><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMDo1OTozNSArMDAwMDUzMTcwNg==.png"" data-latex=""%5Cfrac%7B52%7D%7B64%7D"" data-size=""1""><br></p></div>",C,"<div><p style=""text-align:justify"">Sendo os times A e B, analisando as possibilidades para que o time A seja campeão.</p><p style=""text-align:justify"">Observe que o campeão sempre ganhará a 1ª e a ultima partida.&nbsp;&nbsp;</p><p style=""text-align:center""><img data-filename=""58828"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMzowMTozMyArMDAwMDg3MDUwMA==.png""></p><p style=""text-align:justify"">Considerando o time B campeão, temos a mesma probabilidade.&nbsp;</p><p style=""text-align:justify"">Logo, a probabilidade de o time campeão ser aquele que venceu a primeira partida é 42/64.</p><p style=""text-align:justify""><strong>Resposta correta: C</strong></p><p style=""text-align:justify""><br></p></div>"
17,Questão 153 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),18,"<div><p style=""text-align:justify"">(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">O gráfico apresenta os totais de receitas e despesas de uma empresa, expressos em milhão de reais, no decorrer dos meses de um determinado ano. A empresa obtém lucro quando a diferença entre receita e despesa é positiva e tem prejuízo quando essa diferença é negativa.</p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMCAyMjozNTozNCArMDAwMDU4MjU0Ng==.png"" data-filename=""58689""><br></p><p style=""text-align:justify"">Qual é a mediana, em milhão de reais, dos valores dos lucros apurados pela empresa nesse ano?<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>1,5</p></div>","<div class=""exercise-answer__content dangerous-html""><p>2,0</p></div>","<div class=""exercise-answer__content dangerous-html""><p>2,9</p></div>","<div class=""exercise-answer__content dangerous-html""><p>3,0</p></div>","<div class=""exercise-answer__content dangerous-html""><p>5,5</p></div>",D,"<div class=""dangerous-html""><p style=""text-align:justify"">Pelo gráfico, podemos obsrrvar: lucro = receita - despesa nos meses de janeiro (3), março (1), maio (5), junho (3), julho (2), setembro (4), novembro (1), dezembro (4).&nbsp;</p><p style=""text-align:justify"">Para calcularmos, a mediana desses valores, devemos primeiramente ordená-los:&nbsp;</p><p style=""text-align:center"">{1, 1, 2, 3, 3, 4, 4, 5}</p><p style=""text-align:center""></p><div style=""text-align:center"">Mediana = (3+3)/2 = 3</div><p></p><div style=""text-align:justify""><strong>Resposta correta: D</strong><br><br><br></div><p></p></div>"
18,Questão 154 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),19,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">O pacote básico de um jogo para smartphone, que é vendido a R$ 50,00, contém 2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis nesse jogo.</p><p style=""text-align:justify"">A empresa que comercializa esse jogo decidiu criar um pacote especial que será vendido a R$ 100,00 e que se diferenciará do pacote básico por apresentar maiores quantidades de gemas e moedas de ouro. Para estimular as vendas desse novo pacote, a empresa decidiu inserir nele 6 000 gemas a mais, em relação ao que o cliente teria caso optasse por comprar, com a mesma quantia, dois pacotes básicos.</p><p style=""text-align:justify"">A quantidade de moedas de ouro que a empresa deverá inserir ao pacote especial, para que seja mantida a mesma proporção existente entre as quantidades de gemas e de moedas de ouro contidas no pacote básico, é</p></div>","<div class=""exercise-answer__content dangerous-html""><p>50 000.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>100 000.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>200 000.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>300 000.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>400 000.<br></p></div>",E,"<div><div style=""text-align:justify"">Venda do pacote básico:&nbsp;</div><div style=""text-align:justify"">R$50,00 – 2 000 gemas – 100 000 moedas de ouro.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">Venda de pacote especial:</div><div style=""text-align:justify"">R$100,00 – 6 000 gemas a mais em relação ao pacote básico.</div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">Então:</div><div style=""text-align:justify"">2 pacotes básicos = 4 000 gemas</div><div style=""text-align:justify"">Novo pacote: 4 000 + 6 000 = 10 000.</div><div style=""text-align:justify"">Fazendo a proporção entre o nº de gemas e moedas:</div><div style=""text-align:justify""><br></div><p></p><div style=""text-align:justify""><img data-size=""0.8"" data-latex=""%5Cfrac%20%7B2000%20gemas%7D%20%7B100.000%20moedas%7D"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAwMDo1MTowOSArMDAwMDM5MjM5Mw==.png"">=&nbsp;<img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMyAyMDowNzoyNCArMDAwMDQyOTAyNA==.png"" data-latex=""%5Cfrac%20%7B10000%20gemas%7D%20%7Bx%20moedas%7D"" data-size=""0.8""></div><div style=""text-align:justify""><br></div><div style=""text-align:justify"">2x = 1 000 000</div><p></p><p></p><div style=""text-align:justify"">x= 500 000 moedas</div><div style=""text-align:justify"">Logo, a empresa deverá inserir 500 000 - 100 000 = 400 000 moedas de ouro.</div><div style=""text-align:justify""><br></div><span><div style=""text-align:justify""></div></span><p></p></div>"
19,Questão 155 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),20,"<div class=""dangerous-html""><p>(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">Um parque tem dois circuitos de tamanhos diferentes para corridas. Um corredor treina nesse parque e, no primeiro dia, inicia seu treino percorrendo 3 voltas em torno do circuito maior e 2 voltas em torno do menor, perfazendo um total de 1 800 m. Em seguida, dando continuidade a seu treino, corre mais 2 voltas em torno do circuito maior e 1 volta em torno do menor, percorrendo mais 1 100 m.</p><p style=""text-align:justify"">No segundo dia, ele pretende percorrer 5 000 m nos circuitos do parque, fazendo um número inteiro de voltas em torno deles e de modo que o número de voltas seja o maior possível.</p><p style=""text-align:justify"">A soma do número de voltas em torno dos dois circuitos, no segundo dia, será</p></div>","<div class=""exercise-answer__content dangerous-html""><p>10.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>13.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>14.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>15.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>16.</p></div>",E,"<div><p style=""text-align:justify"">Considere que o circuito maior possui <strong>x </strong>metros, enquanto o menor possui <strong>y </strong>metros. Portanto, temos:</p><p style=""text-align:center""><img data-filename=""58841"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMzoxNjowNiArMDAwMDU0MDY4Nw==.png""></p><p style=""text-align:justify"">Considerando agora que, no 2º dia, o corredor percorreu <strong>a </strong>voltas no maior e <strong>b </strong>voltas no menor, temos (<strong>a</strong> e <strong>b</strong> inteiros):&nbsp;</p><p style=""text-align:center""><img data-filename=""58842"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMzoxNzoyOCArMDAwMDk3MTg4OA==.png""></p><p style=""text-align:justify"">(A maior soma do número de voltas é dada para o mínimo de voltas no circuito maior)</p><p style=""text-align:center""><img data-filename=""58844"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMzoxODoyMiArMDAwMDI2OTQ5.png""></p><p style=""text-align:justify""><strong>Resposta correta: E</strong>&nbsp;</p><p style=""text-align:justify""><br></p></div>"
20,Questão 156 de Matemática e suas Tecnologias da prova ENEM/2022: (ENEM 2022),21,"<div class=""dangerous-html""><p style=""text-align:justify"">(ENEM 2022)&nbsp;</p><p style=""text-align:justify"">Uma equipe de marketing digital foi contratada para aumentar as vendas de um produto ofertado em um site de comércio eletrônico. Para isso, elaborou um anúncio que, quando o cliente clica sobre ele, é direcionado para a página de vendas do produto. Esse anúncio foi divulgado em duas redes sociais, A e B, e foram obtidos os seguintes resultados:</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•</span> rede social A: o anúncio foi visualizado por 3 000 pessoas; 10% delas clicaram sobre o anúncio e foram redirecionadas para o site; 3% das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de R$ 100,00;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•</span> rede social B: o anúncio foi visualizado por 1 000 pessoas; 30% delas clicaram sobre o anúncio e foram redirecionadas para o site; 2% das que clicaram sobre o anúncio compraram o produto. O investimento feito para a publicação do anúncio nessa rede foi de R$ 200,00.</p><p style=""text-align:justify"">Por experiência, o pessoal da equipe de marketing considera que a quantidade de novas pessoas que verão o anúncio é diretamente proporcional ao investimento realizado, e que a quantidade de pessoas que comprarão o produto também se manterá proporcional à quantidade de pessoas que clicarão sobre o anúncio.</p><p style=""text-align:justify"">O responsável pelo produto decidiu, então, investir mais R$ 300,00 em cada uma das duas redes sociais para a divulgação desse anúncio e obteve, de fato, o aumento proporcional esperado na quantidade de clientes que compraram esse produto. Para classificar o aumento obtido na quantidade (Q) de compradores desse produto, em consequência dessa segunda divulgação, em relação aos resultados observados na primeira divulgação, o responsável pelo produto adotou o seguinte critério:</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•&nbsp;</span>Q ≤ 60%: não satisfatório;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•&nbsp;</span>60% &lt; Q ≤ 100%: regular;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•&nbsp;</span>100% &lt; Q ≤ 150%: bom;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•&nbsp;</span>150% &lt; Q ≤ 190%: muito bom;</p><p style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;<span style=""font-size:1em"">•&nbsp;</span>190% &lt; Q ≤ 200%: excelente.</p><p style=""text-align:justify"">O aumento na quantidade de compradores, em consequência dessa segunda divulgação, em relação ao que foi registrado com a primeira divulgação, foi classificado como</p></div>","<div class=""exercise-answer__content dangerous-html""><p>não satisfatório.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>regular.</p></div>","<div class=""exercise-answer__content dangerous-html""><p>bom.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>muito bom.<br></p></div>","<div class=""exercise-answer__content dangerous-html""><p>excelente.<br></p></div>",C,"<div><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMi0xMS0yMSAxMzozNzo1NCArMDAwMDk3MjM4Ng==.png"" data-filename=""58860""></p><p><strong>Resposta correta: C</strong></p><p style=""text-align:justify""><br></p></div>"
